pupilid,schoolid,district,zone,tracking_assigned,tracking_actual,girl,w_correct,w_incorrect,w_missing,s_correct,s_incorrect,s_missing,a1_correct,a2_correct,a3_correct,a4_correct,a5_correct,a6_correct,a7_correct,a8_correct,spelling_correct,total_score,letter_grade,z_score,avg.yrstaught,total_math_score,d.zoneBUTERE EAST,d.zoneBUTERE WEST,d.zoneKABULA,d.zoneKHWISERO WEST,d.zoneMATUNGU,d.zoneMUMIAS EAST,d.zoneMUNICIPALITY,d.zoneSANGALO,d.zoneSOUTH WANGA
6851022,685,BUTERE/M,BUTERE EAST,1,1,1,21,2,1,15,3,22,3,3,2,2,0,0,0,0,6,52,C,1.0879695,NA,10,1,0,0,0,0,0,0,0,0
6851064,685,BUTERE/M,BUTERE EAST,1,0,1,21,3,0,21,1,18,3,3,3,3,3,2,1,0,9,69,B,2.13118848,NA,19,1,0,0,0,0,0,0,0,0
6851078,685,BUTERE/M,BUTERE EAST,1,1,0,21,3,0,8,1,31,3,1,3,2,3,2,1,0,6,50,C,0.96523786,NA,16,1,0,0,0,0,0,0,0,0
6851099,685,BUTERE/M,BUTERE EAST,1,1,1,21,3,0,13,2,25,3,3,1,3,2,2,0,0,10,58,C,1.45616444,NA,14,1,0,0,0,0,0,0,0,0
6871062,687,BUTERE/M,BUTERE EAST,1,0,0,21,3,0,4,5,31,2,3,3,2,2,2,0,0,6,45,C,0.65840875,6.583333,14,1,0,0,0,0,0,0,0,0
6871077,687,BUTERE/M,BUTERE EAST,1,1,1,21,3,0,21,19,0,3,3,2,2,3,1,1,0,9,66,B,1.94709102,6.583333,16,1,0,0,0,0,0,0,0,0
6911022,691,BUTERE/M,BUTERE EAST,1,1,0,21,3,0,6,5,29,3,3,0,2,3,0,0,0,8,46,C,0.71977457,NA,11,1,0,0,0,0,0,0,0,0
6911042,691,BUTERE/M,BUTERE EAST,1,0,1,21,3,0,5,10,25,3,3,1,2,3,1,1,0,6,46,C,0.71977457,NA,15,1,0,0,0,0,0,0,0,0
6921027,692,BUTERE/M,BUTERE EAST,1,1,0,21,3,0,6,5,29,3,1,1,0,2,1,1,0,3,39,D,0.29021382,20.916667,10,1,0,0,0,0,0,0,0,0
6951018,695,BUTERE/M,BUTERE EAST,1,1,1,21,3,0,10,5,25,2,3,1,0,0,2,0,0,7,46,C,0.71977457,NA,8,1,0,0,0,0,0,0,0,0
6951026,695,BUTERE/M,BUTERE EAST,1,1,0,21,3,0,8,7,25,3,3,2,2,3,0,0,0,5,47,C,0.78114039,NA,13,1,0,0,0,0,0,0,0,0
6951028,695,BUTERE/M,BUTERE EAST,1,1,1,21,3,0,5,3,32,3,3,1,2,0,1,0,0,7,43,C,0.5356771,NA,10,1,0,0,0,0,0,0,0,0
6951037,695,BUTERE/M,BUTERE EAST,1,1,0,21,3,0,9,12,19,2,3,2,2,3,0,0,0,2,44,C,0.59704293,NA,12,1,0,0,0,0,0,0,0,0
6951060,695,BUTERE/M,BUTERE EAST,1,1,0,21,3,0,12,3,25,2,1,2,2,3,1,0,0,9,53,C,1.14933533,NA,11,1,0,0,0,0,0,0,0,0
6991039,699,BUTERE/M,BUTERE WEST,1,1,0,21,3,0,35,5,0,3,3,1,2,2,1,1,0,10,79,B,2.7448467,NA,14,0,1,0,0,0,0,0,0,0
6991041,699,BUTERE/M,BUTERE WEST,1,1,1,21,3,0,21,5,14,3,2,1,0,0,1,1,0,8,58,C,1.45616444,NA,9,0,1,0,0,0,0,0,0,0
